subjID,StartDate,EndDate,AttritionRemedy,Age,Sex,RaceW_B_Ind_A_Haw_Biracial,Political Identification,CorpTax,CorpTaxImp,CC,Ccimp,Protest,Sign petitions,Call representative,Riot,Boycotting,Run for President of the USA,Flag_IMT,Simp0_1Comp,For0_1Ag,Con1_2Incon_3NP,CC0_1CT,ProcEase,PolAtt1,PolAtt2,PolAtt3,PolAttDV
1,6/23/17 17:19,6/23/17 17:20,I will complete the full survey,33,2,1,1,1,5,1,6,,,,,,6,0,1,0,1,1,1,4,4,4,4
2,6/23/17 17:18,6/23/17 17:24,I will complete the full survcey,24,2,2,4,2,5,1,4,,,,,,6,0,1,0,2,1,1,5,4,4,4.333333333
3,6/23/17 17:17,6/23/17 17:20,I will complete the full survey,46,2,1,6,2,5,2,1,,,,,,6,0,1,0,2,1,1,2,2,1,1.666666667
4,6/23/17 17:15,6/23/17 17:17,I will complete the full survey,51,2,1,1,1,4,1,5,,,,,,6,0,1,0,1,1,1,4,4,4,4
5,6/23/17 17:09,6/23/17 17:12,I will complete the full survey,74,1,1,7,1,6,1,6,,,,,,6,0,1,0,1,1,1,1,1,1,1
6,6/23/17 17:09,6/23/17 17:10,I will complete the full survey,30,1,1,6,1,2,1,3,,,,,,6,0,1,0,1,1,1,4,4,4,4
7,6/23/17 17:06,6/23/17 17:09,I will complete the full survey,66,2,1,4,1,5,1,5,,,,,,6,0,1,0,1,1,1,6,6,2,4.666666667
8,6/23/17 17:05,6/23/17 17:09,I will complete the full survey,40,2,4,4,3,2,3,2,,,,,,6,0,1,0,3,1,1,4,4,4,4
9,6/23/17 17:04,6/23/17 17:06,I will complete the full survey,28,1,4,4,3,2,1,1,,,,,,6,0,1,0,3,1,1,4,4,4,4
10,6/23/17 17:04,6/23/17 17:06,I will complete the full survey,42,1,1,6,2,2,1,2,,,,,,6,0,1,0,2,1,1,4,4,2,3.333333333
11,6/23/17 17:02,6/23/17 17:05,I will complete the full survey,49,1,1,7,3,5,2,5,,,,,,6,0,1,0,3,1,1,1,1,2,1.333333333
