subjID,Participant identification number
StartDate,Time/date participant began survey
EndDate,Time/date participant finished survey
AttritionRemedy,"Participants affirming that they will complete the full survey. This is used to reduce attitrion (Zhou & Fishbach, 2016)"
mTurkID,Mechanical turk identification number
Age,Participant Age
Sex,"Participant Sex (Male = 1, Female = 2)"
RaceW_B_Ind_A_Haw_Biracial,"Participant Race (1 = White, 2 = Black, 3 = American Indian or Alaskan Native, 4 = Asian, 5 = Native Hawaiian of other Pacific Islander, 6 = Biracial)"
Political Identification,Participant political identification (1 = extremely liberal; 7 = extremely conservative)
CorpTax,"Position on corporate taxes (1 = for, 2 = against, 3 = I don't know)"
CorpTaxImp,Issue importance of corporate taxes
CC,"Positon on climate change (1 = for, 2 = against, 3 = I don't know)"
Ccimp,Issue importance of climate change
Protest,See description in row 20
Sign petitions,See description in row 20
Call representative,See description in row 20
Riot,See description in row 20
Boycotting,See description in row 20
Run for President of the USA,See description in row 20
Flag_IMT,"The above options in rows 14-19 were used as an instructional manipulation check (Oppenheimer, Meyvis, & Davidenko, 2009). Participants were instructed to ignore all options and select ""Run for president of the USA. Thus, anyone who failed this attention check was excluded as per our preregistered plan (see manuscript for more details)."
Simp0_1Comp,Participant received a simple or complex policy (simple = 0; complex = 1)
For0_1Ag,Participant received a policy was for or against on that issue (for = 0; against = 1)
Con1_2Incon_3NP,"Belief-consistency: whether the policy participants received a policy that was for or against their initial position (Consistent = 1, Inconsistent = 2, No preference = 3)"
CC0_1CT,Issue participants received (climate change = 0; corporate taxes = 1)
ProcEase,Measure of processing ease
PolAtt1,Policy attitude favorability question 1
PolAtt2,Policy attitude favorability question 2
PolAtt3,Policy attitude favorability question 3
PolAttDV,Composite of policy attitude favorability questions (higher numbers mean more favorable: 1-7 scale)
