ID,Age,Gender,Group,Routine,NBlocks,NSets4Block,Block,Set,SetInd,Triplet,Type,Prime1Dur,Prime2Dur,Prime3Dur,Named1Dur,Named2Dur,Named1Snd2VisDelay,Named2Snd2VisDelay,TargetSnd2VisDelay,Named1StmCode,Named2StmCode,TargetCode,TargetNRsp,TargetACC,TargetRT,TargetRTThresh,TargetRewardGiven?,
021,0,1,1,2,10,5,1,1,1,1,3,117,116,117,834,833,200,200,200,1003,2,1004,1,1,613,739,0,
021,0,1,1,2,10,5,1,1,1,2,7,117,117,117,833,833,200,200,200,110,105,129,1,1,716,706,0,
021,0,1,1,2,10,5,1,1,1,3,8,116,117,117,833,833,200,200,200,105,129,111,1,1,647,706,0,
021,0,1,1,2,10,5,1,1,1,4,1,117,116,117,834,833,200,200,200,1001,1,1002,1,1,582,706,0,
021,0,1,1,2,10,5,1,1,1,5,6,117,116,117,833,833,200,200,200,1006,110,1007,1,1,675,706,0,
021,0,1,1,2,10,5,1,1,1,6,4,116,117,117,833,833,201,200,200,1003,2,1005,1,1,610,686,0,
021,0,1,1,2,10,5,1,1,1,7,5,116,116,117,833,833,200,200,200,1006,118,1007,1,1,893,686,0,
021,0,1,1,2,10,5,1,1,1,8,2,117,116,116,833,834,200,200,200,1001,1,1002,1,1,690,696,0,
021,0,1,1,2,10,5,1,2,2,1,6,116,116,117,833,833,200,200,200,1006,105,1007,1,1,594,683,0,
021,0,1,1,2,10,5,1,2,2,2,8,117,117,117,833,899,200,200,200,125,127,130,1,1,484,667,0,
021,0,1,1,2,10,5,1,2,2,3,2,117,117,116,833,833,200,200,200,1001,1,1002,1,1,662,654,0,
021,0,1,1,2,10,5,1,2,2,4,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,618,654,0,
021,0,1,1,2,10,5,1,2,2,5,7,117,117,117,833,833,200,200,200,105,125,127,1,1,511,648,0,
021,0,1,1,2,10,5,1,2,2,6,1,117,116,117,833,833,200,200,200,1001,1,1002,1,1,516,640,0,
021,0,1,1,2,10,5,1,2,2,7,3,117,116,117,833,833,200,200,200,1003,2,1004,1,1,511,640,0,
021,0,1,1,2,10,5,1,2,2,8,5,116,117,116,833,833,200,200,200,1006,123,1007,1,1,537,625,0,
021,0,1,1,2,10,5,1,3,3,1,7,117,116,117,833,833,200,200,200,121,138,116,1,1,512,625,0,
021,0,1,1,2,10,5,1,3,3,2,6,117,117,116,833,834,200,200,200,1006,121,1007,1,1,465,616,0,
021,0,1,1,2,10,5,1,3,3,3,1,117,117,117,833,833,200,200,200,1001,1,1002,1259,0,899,611,0,
021,0,1,1,2,10,5,1,3,3,4,3,117,117,116,833,833,200,200,200,1003,2,1004,1,1,725,611,0,
021,0,1,1,2,10,5,1,3,3,5,5,117,117,117,833,833,200,200,200,1006,125,1007,1,1,757,611,0,
021,0,1,1,2,10,5,1,3,3,6,2,116,117,117,833,833,200,200,200,1001,1,1002,1,1,577,614,0,
021,0,1,1,2,10,5,1,3,3,7,8,116,117,117,833,833,200,200,200,138,116,135,1,1,728,602,0,
021,0,1,1,2,10,5,1,3,3,8,4,116,116,117,834,833,200,200,200,1003,2,1005,927,0,878,602,0,
021,0,1,1,2,10,5,1,4,4,1,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,640,614,0,
021,0,1,1,2,10,5,1,4,4,2,6,116,117,117,833,833,200,200,200,1006,130,1007,1,1,669,614,0,
021,0,1,1,2,10,5,1,4,4,3,2,117,117,117,833,833,200,200,200,1001,1,1002,1,1,665,629,0,
021,0,1,1,2,10,5,1,4,4,4,4,117,117,116,833,834,200,200,200,1003,2,1005,1,1,915,629,0,
021,0,1,1,2,10,5,1,4,4,5,8,117,117,117,833,833,200,200,200,116,112,129,1,1,555,629,0,
021,0,1,1,2,10,5,1,4,4,6,3,116,117,116,833,833,200,200,200,1003,2,1004,1,1,744,629,0,
021,0,1,1,2,10,5,1,4,4,7,5,117,117,117,833,833,200,200,200,1006,122,1007,1,1,700,651,0,
021,0,1,1,2,10,5,1,4,4,8,7,117,117,117,833,833,200,200,200,130,116,112,1,1,918,652,0,
021,0,1,1,2,10,5,1,5,5,1,8,117,117,117,833,833,200,200,200,101,136,119,1,1,667,667,0,
021,0,1,1,2,10,5,1,5,5,2,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,573,668,0,
021,0,1,1,2,10,5,1,5,5,3,6,117,117,117,833,832,200,200,200,1006,123,1007,1,1,726,668,0,
021,0,1,1,2,10,5,1,5,5,4,1,117,117,117,833,832,200,200,200,1001,1,1002,1,1,730,684,0,
021,0,1,1,2,10,5,1,5,5,5,7,117,117,116,833,834,200,200,200,123,101,136,1,1,838,712,0,
021,0,1,1,2,10,5,1,5,5,6,4,116,117,117,833,832,200,200,200,1003,2,1005,1,1,759,725,0,
021,0,1,1,2,10,5,1,5,5,7,5,116,117,116,833,833,200,200,200,1006,151,1007,1,1,641,727,0,
021,0,1,1,2,10,5,1,5,5,8,2,116,117,117,833,833,200,200,200,1001,1,1002,1,1,638,725,0,
021,0,1,1,2,10,5,2,1,6,1,3,117,117,117,833,833,200,200,200,1003,2,1004,1,1,635,713,0,
021,0,1,1,2,10,5,2,1,6,2,1,117,117,117,833,833,200,200,200,1001,1,1002,1,1,531,684,0,
021,0,1,1,2,10,5,2,1,6,3,7,116,117,116,833,833,200,200,200,115,141,116,1,1,510,684,0,
021,0,1,1,2,10,5,2,1,6,4,8,117,117,117,833,832,200,200,200,141,116,117,1,1,519,668,0,
021,0,1,1,2,10,5,2,1,6,5,5,117,117,117,833,833,200,200,200,1006,128,1007,1,1,709,666,0,
021,0,1,1,2,10,5,2,1,6,6,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,759,668,0,
021,0,1,1,2,10,5,2,1,6,7,2,116,117,117,833,833,200,200,200,1001,1,1002,1,1,924,684,0,
021,0,1,1,2,10,5,2,1,6,8,6,116,116,117,833,833,200,200,200,1006,115,1007,1,1,502,705,0,
021,0,1,1,2,10,5,2,2,7,1,3,118,117,117,833,833,200,200,200,1003,2,1004,1,1,620,684,0,
021,0,1,1,2,10,5,2,2,7,2,1,118,116,117,832,833,200,200,200,1001,1,1002,1,1,725,684,0,
021,0,1,1,2,10,5,2,2,7,3,7,116,116,117,834,833,200,200,200,107,103,116,1,1,504,684,0,
021,0,1,1,2,10,5,2,2,7,4,5,117,116,117,833,834,200,200,200,1006,124,1007,1,1,729,654,0,
021,0,1,1,2,10,5,2,2,7,5,4,116,117,117,833,833,200,200,200,1003,2,1005,1,1,885,654,0,
021,0,1,1,2,10,5,2,2,7,6,8,116,117,117,833,833,200,200,200,103,116,144,1,1,819,675,0,
021,0,1,1,2,10,5,2,2,7,7,6,116,116,117,834,833,200,200,200,1006,107,1007,1,1,622,717,0,
021,0,1,1,2,10,5,2,2,7,8,2,116,116,117,833,834,200,200,200,1001,1,1002,1,1,592,675,0,
021,0,1,1,2,10,5,2,3,8,1,4,117,117,117,833,833,200,200,200,1003,2,1005,1,1,685,640,0,
021,0,1,1,2,10,5,2,3,8,2,2,116,117,117,834,833,200,200,200,1001,1,1002,1,1,632,640,0,
021,0,1,1,2,10,5,2,3,8,3,5,117,117,116,833,834,200,200,200,1006,102,1007,1,1,691,637,0,
021,0,1,1,2,10,5,2,3,8,4,3,117,116,117,833,833,200,200,200,1003,2,1004,1,1,732,637,0,
021,0,1,1,2,10,5,2,3,8,5,6,116,117,117,833,833,200,200,200,1006,134,1007,1,1,1094,660,0,
021,0,1,1,2,10,5,2,3,8,6,1,117,116,116,833,834,200,200,200,1001,1,1002,1,1,659,688,0,
021,0,1,1,2,10,5,2,3,8,7,8,116,116,117,834,833,200,200,200,107,104,122,1,1,1363,688,0,
021,0,1,1,2,10,5,2,3,8,8,7,116,118,117,833,833,200,200,200,134,107,104,1,1,805,700,0,
021,0,1,1,2,10,5,2,4,9,1,2,117,116,116,834,833,200,200,200,1001,1,1002,1,1,639,717,0,
021,0,1,1,2,10,5,2,4,9,2,7,117,117,116,833,834,200,200,200,120,141,147,1,1,914,708,0,
021,0,1,1,2,10,5,2,4,9,3,5,117,117,117,833,833,200,200,200,1006,136,1007,1,1,858,708,0,
021,0,1,1,2,10,5,2,4,9,4,4,117,117,117,834,833,200,200,200,1003,2,1005,1,1,729,708,0,
021,0,1,1,2,10,5,2,4,9,5,6,117,116,117,834,833,200,200,200,1006,120,1007,1,1,583,727,0,
021,0,1,1,2,10,5,2,4,9,6,3,117,117,116,833,834,200,200,200,1003,2,1004,1,1,560,727,0,
021,0,1,1,2,10,5,2,4,9,7,8,117,116,117,833,833,200,200,200,141,147,110,1424,0,1393,710,0,
021,0,1,1,2,10,5,2,4,9,8,1,116,117,117,833,832,200,200,200,1001,1,1002,1,1,1464,729,0,
021,0,1,1,2,10,5,2,5,10,1,6,116,117,117,833,833,200,200,200,1006,145,1007,1,1,669,731,0,
021,0,1,1,2,10,5,2,5,10,2,1,116,117,117,833,833,200,200,200,1001,1,1002,1,1,559,710,0,
