date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	07:26:03	408	3.0.6.0	A1CPVTZAK27YSF	12733	1	12733	39	12733	4	12733	1	12733	1	12733	n/a	30859	6	30859	2	30859	2	30859	6	30859	great job	30859	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	11:15:53	1315	3.0.6.0	A2LVHUBNHPJEXV	59198	2	59198	30	59198	4	59198	2	59198	1	59198		32134	6	32134	3	32134	1	32134	5	32134		32134	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	09:40:15	2375	3.0.6.0	ASV3VVYVR8OTZ	23032	2	23032	27	23032	2	23032	1	23032	1	23032		25453	7	25453	3	25453	1	25453	2	25453	none	25453	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	19:05:30	1697	3.0.6.0	A3NFEFUVKWE0WM	126700	2	126700	31	126700	1	126700	1	126700	1	126700		30176	7	30176	3	30176	2	30176	2	30176		30176	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	22:35:55	1911	3.0.6.0	A2H1Z9MLDWRY87	41176	1	41176	32	41176	2	41176	1	41176	1	41176		52395	7	52395	3	52395	3	52395	8	52395	It cut me off when I wrote that I followed the instructions after I typed instructions.  I hope that is okay, I did my best to be careful and thoughtful for your research.	52395	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	07:45:18	543	3.0.6.0	A2TRBGFHYQOTS8	18410	2	18410	27	18410	2	18410	1	18410	1	18410	unsculprous I dont know if I spelled that correctly	43955	7	43955	3	43955	2	43955	2	43955		43955	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	05:45:01	309	3.0.6.0	A27IABVBUZ9X8Z	124450	2	124450	48	124450	2	124450	1	124450	1	124450	n/a	35869	7	35869	2	35869	1	35869	2	35869		35869	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	11:00:28	2587	3.0.6.0	A3E98XCHFSVPUE	24778	1	24778	26	24778	2	24778	1	24778	1	24778	unscrupulous	54489	5	54489	2	54489	1	54489	2	54489	I was able to associate the characteristics with a person I knew, so that helped me visualize it better. 	54489	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	10:56	2576	3.0.6.0		29125	2	29125	47	29125	7	29125	1	29125	1	29125		20847	7	20847	3	20847	1	20847	2	20847		20847	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	12:26:03	1079	3.0.6.0	A3BA3RGS7OXVMM	113272	2	113272	41	113272	1	113272	1	113272	1	113272	N/A	129615	7	129615	2	129615	2	129615	7	129615	I did not imagine a race for the person, that is why I chose other. I only thought of a female first, then thought of a male. It reminded me of people I knew. I'm not sure if I have done other surveys by this requester.	129615	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	13:38:51	2759	3.0.6.0	A1ISKEBUU0UJZV	45279	1	45279	20	45279	2	45279	1	45279	1	45279		17671	5	17671	2	17671	1	17671	2	17671		17671	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	09:36:30	2355	3.0.6.0	A2X9IIINQM58B6	40309	1	40309	25	40309	2	40309	2	40309	1	40309		21921	7	21921	3	21921	2	21921	1	21921		21921	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	16:07:05	1507	3.0.6.0	A3TCFIPOBRZZB3	44154	1	44154	43	44154	2	44154	1	44154	1	44154		31673	7	31673	2	31673	1	31673	2	31673		31673	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	10:01:42	2282	3.0.6.0	A1L3FM45HRBIXY	29622	2	29622	20	29622	8	29622	1	29622	1	29622		50346	7	50346	3	50346	1	50346	8	50346		50346	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	11:33:50	1095	3.0.6.0		21023	1	21023	32	21023	2	21023	1	21023	1	21023		21675	7	21675	2	21675	2	21675	2	21675		21675	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	10:43:15	2381	3.0.6.0	A2B9KUTFR9F01G	44753	1	44753	21	44753	2	44753	1	44753	1	44753		40423	7	40423	3	40423	1	40423	2	40423		40423	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	13:37:21	1216	3.0.6.0	A16DM65Q3KI1P1	77728	1	77728	19	77728	7	77728	1	77728	1	77728		25732	7	25732	3	25732	1	25732	8	25732		25732	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	13:37:39	2646	3.0.6.0	A1JRV4XD6CG12W	14097	1	14097	25	14097	7	14097	1	14097	1	14097		13840	7	13840	3	13840	1	13840	8	13840		13840	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	13:22:19	2618	3.0.6.0	A1153ZIEQX0ZJ8	15790	1	15790	23	15790	3	15790	1	15790	1	15790		20497	6	20497	3	20497	1	20497	2	20497		20497	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062813	10:15:04	2320	3.0.6.0	A2LKQQ3GNDQ017	19413	1	19413	27	19413	2	19413	1	19413	1	19413		21946	7	21946	2	21946	1	21946	8	21946		21946	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	06:20:27	329	3.0.6.0	A3B6TW0WPGVR21	17116	2	17116	33	17116	2	17116	1	17116	1	17116	I knew the words.	35013	7	35013	1	35013	1	35013	2	35013	Thank you! This was very interesting.	35013	
date	time	subject	build	ID_response	ID_latency	sex_response	sex_latency	age_response	age_latency	race_response	race_latency	native_response	native_latency	problems_response	problems_latency	words_response	words_latency	best_response	best_latency	participated_response	participated_latency	targetsex_response	targetsex_latency	targetrace_response	targetrace_latency	remarks_response	remarks_latency	
062713	12:06:55	1406	3.0.6.0	 A2YM9Y5ZZ3MHPC	20998	2	20998	23	20998	4	20998	1	20998	1	20998		28168	7	28168	3	28168	3	28168	8	28168		28168	
