trait,likability-rating (/700)
sincere,573
honest,555
understanding,549
loyal,547
truthful,545
trustworthy,539
intelligent,537
dependable,536
openminded,530
thoughtful,529
wise,528
considerate,527
goodnatured,527
reliable,527
mature,522
warm,522
earnest,521
kind,520
friendly,519
kindhearted,514
happy,514
clean,514
interesting,511
unselfish,510
goodhumored,507
honorable,507
humorous,505
responsible,505
cheerful,504
trustful,504
warmhearted,504
broadminded,503
gentle,503
wellspoken,501
educated,500
reasonable,500
companionable,499
likable,497
trusting,497
clever,496
pleasant,495
courteous,494
quickwitted,494
tactful,494
helpful,492
appreciative,492
imaginative,492
outstanding,492
selfdisciplined,491
brilliant,490
enthusiastic,489
levelheaded,489
polite,489
original,488
smart,488
forgiving,486
sharpwitted,486
wellread,486
ambitious,484
bright,483
respectful,483
efficient,482
goodtempered,482
grateful,482
conscientious,481
resourceful,481
alert,480
good,480
witty,480
clearheaded,479
kindly,479
admirable,478
patient,478
talented,478
perceptive,477
spirited,477
sportsmanlike,477
wellmannered,477
cooperative,476
ethical,476
intellectual,476
versatile,474
capable,471
courageous,471
constructive,468
productive,468
progressive,468
individualistic,467
observant,467
ingenious,466
lively,466
neat,466
punctual,466
logical,465
prompt,465
accurate,464
sensible,464
creative,462
selfreliant,462
tolerant,461
amusing,460
cleancut,460
generous,459
sympathetic,459
energetic,457
highspirited,457
selfcontrolled,456
tender,456
active,455
independent,455
respectable,455
inventive,453
wholesome,453
congenial,452
cordial,452
experienced,451
attentive,450
cultured,450
frank,450
purposeful,450
decent,449
diligent,449
realist,449
eager,448
poised,448
competent,447
realistic,447
amiable,446
optimistic,443
vigorous,443
entertaining,442
adventurous,441
vivacious,440
composed,439
relaxed,439
romantic,439
proficient,438
rational,438
skillful,438
enterprising,437
gracious,437
able,436
nice,436
agreeable,434
skilled,433
curious,432
modern,432
charming,430
sociable,429
modest,428
decisive,427
humble,427
tidy,427
popular,426
upright,426
literary,425
practical,425
lighthearted,424
wellbred,423
refined,422
selfconfident,421
coolheaded,420
studious,418
venturesome,417
discreet,416
informal,416
thorough,416
exuberant,414
inquisitive,413
easygoing,412
outgoing,412
selfsufficient,412
casual,411
consistent,411
moral,411
selfassured,411
untiring,410
hopeful,406
calm,406
strongminded,404
positive,403
confident,401
artistic,400
precise,400
scientific,400
orderly,399
social,398
direct,396
careful,390
candid,389
comical,389
obliging,389
selfcritical,389
fashionable,387
religious,387
softhearted,387
dignified,386
philosophical,386
idealistic,384
softspoken,380
disciplined,379
serious,379
definite,375
convincing,374
persuasive,374
obedient,373
quick,373
sophisticated,372
thrifty,372
sentimental,371
objective,370
nonconforming,369
righteous,369
mathematical,367
meditative,366
fearless,366
systematic,366
subtle,365
normal,362
daring,360
middleclass,360
lucky,358
proud,358
sensitive,358
moralistic,357
talkative,352
excited,351
moderate,351
satirical,351
prudent,348
reserved,348
persistent,347
meticulous,346
unconventional,346
deliberate,345
painstaking,345
bold,336
suave,335
cautious,334
innocent,332
inoffensive,332
shrewd,328
methodical,325
nonchalant,324
selfcontented,324
perfectionistic,322
forward,318
excitable,317
outspoken,313
prideful,313
quiet,311
impulsive,307
aggressive,304
changeable,297
conservative,295
shy,291
hesitant,290
unpredictable,290
solemn,289
blunt,287
selfrighteous,287
average,284
discriminating,283
emotional,283
unlucky,280
bashful,279
selfconcerned,279
authoritative,274
lonesome,274
restless,274
choosy,272
selfpossessed,272
naive,270
opportunist,270
theatrical,269
unsophisticated,267
impressionable,266
ordinary,266
strict,266
skeptical,264
extravagant,263
forceful,263
cunning,262
inexperienced,262
unmethodical,262
daredevil,261
wordy,261
daydreamer,260
conventional,260
materialistic,260
selfsatisfied,260
rebellious,258
eccentric,257
opinionated,257
stern,257
lonely,256
dependent,254
unsystematic,253
selfconscious,249
undecided,249
resigned,248
clownish,247
anxious,246
conforming,246
critical,243
conformist,241
radical,241
dissatisfied,239
oldfashioned,239
meek,238
frivolous,237
discontented,237
troubled,235
irreligious,234
overcautious,229
silent,228
tough,228
ungraceful,228
argumentative,227
withdrawing,227
uninquisitive,225
forgetful,224
inhibited,224
unskilled,224
crafty,223
passive,223
immodest,222
unpopular,222
timid,222
spendthrift,221
temperamental,221
gullible,219
indecisive,219
silly,219
submissive,219
unstudious,218
preoccupied,216
tense,215
fearful,214
unromantic,214
absentminded,213
impractical,213
withdrawn,213
unadventurous,212
sarcastic,210
sad,209
unemotional,209
worrying,209
highstrung,208
unoriginal,207
unpoised,206
compulsive,205
worrier,205
demanding,203
unhappy,203
indifferent,202
uncultured,201
clumsy,199
insecure,198
unentertaining,198
imitative,198
melancholy,198
mediocre,197
obstinate,197
unhealthy,197
headstrong,196
nervous,196
nonconfident,196
stubborn,196
unimaginative,195
downhearted,194
unobservant,194
inconsistent,193
unpunctual,192
unindustrious,191
disturbed,189
superstitious,189
frustrated,188
illogical,186
rash,186
unenthusiastic,186
inaccurate,185
uoninquisitive,184
unagreeable,184
jumpy,183
possessive,183
purposeless,183
moody,182
unenterprising,180
unintellectual,180
unwise,180
oversensitive,179
inefficient,178
reckless,178
pompous,177
uncongenial,175
untidy,175
unaccomodating,174
noisy,173
squeamish,172
cynical,171
angry,169
listless,169
uninspiring,169
unintelligent,168
domineering,167
scolding,166
depressed,166
unobliging,165
pessimistic,164
unattentive,164
boisterous,163
suspicious,163
inattentive,162
overconfident,162
smug,161
unsociable,161
unproductive,160
wasteful,160
fickle,159
neglectful,159
shorttempered,159
hotheaded,158
unsocial,158
envious,157
overcritical,157
scheming,156
sly,156
weak,155
foolhardy,154
immature,154
dominating,153
showy,153
sloppy,153
unsympathetic,153
uncompromising,153
hottempered,152
neurotic,152
unsporting,152
finicky,150
resentful,150
unruly,150
faultfinding,148
messy,147
