date	time	subject	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	windowcenter	trialduration	trialtimeout	blocktimeout	response	correct	latency	inwindow	stimulusnumber1	stimulusitem1	stimulusvpos1	stimulushpos1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusvpos2	stimulushpos2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusvpos3	stimulushpos3	stimulusonset3
070913	15:51:23	65	3.0.6.0	1	1	INF	INF	100	100	0	0	0	0	consent	0	2306	0	1	IF_pretest.jpg	50pct	50pct	112	1	consent.jpg	75	70	112	1	no_consent.jpg	75	30	112
070913	15:51:23	65	3.0.6.0	2	1	rating	valence	0	0	0	0	0	0	6	0	4358	0	5	humorous	40pct	50pct	16	1	How POSITIVE is someone who is:	30pct	50pct	16	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	2	rating	valence	0	0	0	0	0	0	6	0	1363	0	17	strong	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	3	rating	valence	0	0	0	0	0	0	6	0	1219	0	12	persistent	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	4	rating	valence	0	0	0	0	0	0	6	0	1129	0	15	altruistic	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	5	rating	valence	0	0	0	0	0	0	6	0	1387	0	3	happy	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	6	rating	valence	0	0	0	0	0	0	7	0	3685	0	1	generous	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	7	rating	valence	0	0	0	0	0	0	7	0	2762	0	10	humane	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	8	rating	valence	0	0	0	0	0	0	6	0	1171	0	4	good-natured	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	9	rating	valence	0	0	0	0	0	0	5	0	2300	0	7	popular	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	10	rating	valence	0	0	0	0	0	0	5	0	1600	0	6	sociable	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	11	rating	valence	0	0	0	0	0	0	5	0	1464	0	9	important	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	12	rating	valence	0	0	0	0	0	0	6	0	1588	0	2	wise	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	13	rating	valence	0	0	0	0	0	0	3	0	10965	0	14	restrained	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	14	rating	valence	0	0	0	0	0	0	5	0	2001	0	8	reliable	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	15	rating	valence	0	0	0	0	0	0	4	0	1967	0	13	serious	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	16	rating	valence	0	0	0	0	0	0	6	0	1577	0	18	honest	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
070913	15:51:23	65	3.0.6.0	2	17	rating	valence	0	0	0	0	0	0	6	0	7381	0	16	imaginative	40pct	50pct	15	1	How POSITIVE is someone who is:	30pct	50pct	15	0	0	0	0	0
