Include,Condition_Tracking,textcomp,Ifnd,external_lfdn,tester,dispcode,lastpage,quality,duration,c_0001,c_0002,AgreeInformedConsent,EmpathicConcern_1,EmpathicConcern_2_R,EmpathicConcern_3,EmpathicTendency_4,EmpathicConcern_5_R,EmpathicConcern_6_R,EmpathicConcern_7,brieflydescribe,thoughtsfeels,Identification_1,Identification_2,Identification_3,Identification_4,Identification_5,Identification_6,Identification_7,Identification_8,Identification_9,Identification_10,Responsibility_1,Responsibility_2,Appreciation_1,Appreciation_2,Appreciation_3,Enjoyment_1,Enjoyment_2,Enjoyment_3,NarrativeEngagement_1_R,NarrativeEngagement_2_R,NarrativeEngagement_3_R,NarrativeEngagement_4_R,NarrativeEngagement_5_R,NarrativeEngagement_6_R,NarrativeEngagement_7,NarrativeEngagement_8,NarrativeEngagement_9,NarrativeEngagement_10,NarrativeEngagement_11,NarrativeEngagement_12,BogusItem,percentagedonated,whydonate,Whereshe,Howfriends,Whytears,Why1,Whentip,Whoch,MTurkorCrowdflower,MTurkorCrowdflower_other,CrowflowerContributorID,Gender,gender_other,Age,Nationality,CountryResidency,LivedHomeless,FirstLanguage,FirstLanguage_Other,Occupation_unemployed,Occupation_student,Occupation_bluecollar_service,Occupation_clerical,Occupation_selfemployed,Occupation_professionalmanagerial,Occupation_otheryn,Occupation_otherwhat,condition,condition_other,storyoff_yn,storyoff_what,otherissues,comments,Data_quality_carefully_answered,Data_quality_participated_morethanonce,browser,referer,participant_browser,participant_browser_version,participant_os,participant_device,participant_brand,participant_model,participant_isbot,participant_continent,participant_country,participant_region,participant_city,participant_latitude,participant_longitude,quota,quota_assignment,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts1496361,rts1496371,rts1496372,rts1496373,rts1496429,rts1496442,rts1496445,rts1496447,rts1496449,rts1501165,rts1624135,rts1646780,rts1646798,rts1693823,rts1693825,rts1693827,rts1693829,rts1693831,rts1693833,rts1693835,rts1693837,rts1693839,rts1693841,rts1693843,rts1693845,rts1693886,tic
no - test insti,1,,1,0,0,22,1496373,-77,251,-66,2,-77,1,0,0,0,0,0,0,-66,-66,-77,-77,0,-77,-77,-77,0,0,0,1,-77,-77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-77,-77,-77,0,fdgh,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,2,dfgh,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=projectinfo,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,291,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,51d8e032ace729ac095d3c0cc8a3af03,1,0,1451914152,04/01/16 13:29,04/01/16 13:33,0000-00-00 00:00:00,0,252,257,0,79,120,175,181,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,2,,2,0,0,22,1496445,-77,-1,-66,1,-77,1,0,0,0,0,0,0,-66,-66,1,0,0,0,0,0,0,0,0,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,1,-99,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=syadmin,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,421,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,eb7661dbe2ffb636fed8c023d6a1d122,1,0,1461077677,19/04/16 14:54,29/04/16 09:40,0000-00-00 00:00:00,18,0,0,0,0,14,69,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,3,,3,0,0,31,1496374,-77,1263,-66,2,-77,6,0,6,7,2,1,5,-66,-66,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,2,2,6,5,5,6,6,5,-77,100,Explanation.,-77,-77,-77,-77,-77,-77,-77,-66,-99,1,-99,99,German,Germany,-77,6,German,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-99,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/6.2.8 Safari/537.85.17",http://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=projectinfo,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,421,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,7d35279a4ca450fdc1d973812c09783b,1,0,1461675425,26/04/16 12:57,26/04/16 13:18,0000-00-00 00:00:00,0,981,1037,1153,855,313,680,712,0,691,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,4,,4,0,0,31,1496374,-77,1902,-66,1,-77,5,4,5,5,5,4,4,-66,-66,0,3,3,4,5,4,4,5,4,4,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,-77,100,-99,-77,-77,-77,-77,-77,-77,-77,-66,Id2308,1,-99,100,German,Germany,-77,6,-99,-77,-77,-77,-77,-77,-77,-77,-66,1,-99,-77,-66,-66,-99,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/6.2.8 Safari/537.85.17",http://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=projectinfo,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"14,963,591,496,442,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,ca4a8f532f2fbd659129b75682fb5d1b,1,0,1461677090,26/04/16 13:24,26/04/16 13:56,0000-00-00 00:00:00,1015,1796,1797,1828,1721,10,1708,1717,1040,1715,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,5,,5,0,0,31,1496374,-77,405,-66,2,-77,7,1,7,6,5,2,7,testtest single parent kids,testtest made me think,3,6,6,4,6,6,6,5,6,7,1,2,6,5,6,6,6,3,6,1,1,1,6,6,1,1,1,1,6,1,7,1,testtest i need the money,-77,-77,-77,-77,-77,-77,-77,-66,testetst 123,1,-99,235,hungarian,australia,-77,6,australian,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,"testtest no, thanks!",-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.86 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=syadmin,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,421,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,0,0,-77,-77,e915f693a4cddad2e02feeee619fca6c,1,0,1461922863,29/04/16 09:41,29/04/16 09:47,0000-00-00 00:00:00,0,266,275,395,239,70,158,188,0,167,405,118,331,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,8,,8,0,0,22,1496442,-77,-1,-66,1,-77,0,0,0,0,0,0,0,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36 OPR/37.0.2178.43",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"1,496,359,149,644,210,000,000,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,1be924568ed109283c48a40f6bef2453,1,0,1464189389,25/05/16 15:16,26/05/16 09:38,0000-00-00 00:00:00,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,13,,13,0,0,22,1692529,-77,79,-66,2,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=projectinfo,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"14,963,591,496,442,100,000,000,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,e9211b67f157c7aa6787a90e1cc2680d,1,0,1464254972,26/05/16 09:29,26/05/16 09:31,0000-00-00 00:00:00,101,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b0ca608bf1b898e293c981c9e4fe8156
no - test insti,15,,15,0,0,22,1496442,-77,86,-66,1,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=projectinfo,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,421,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,30570e4ce55c96828710327649d81859,1,0,1464255366,26/05/16 09:36,26/05/16 09:37,0000-00-00 00:00:00,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,16,,16,0,0,22,1692529,-77,29,-66,2,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,1,-99,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,421,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,5fda926b1dd4f7e8e654269a4bf10134,1,0,1464255570,26/05/16 09:39,26/05/16 09:40,0000-00-00 00:00:00,29,0,0,0,0,14,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344977bd45c8d45d3ec9dda37e498482
no - test insti,17,,17,0,0,22,1692529,-77,20,-66,1,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=syadmin,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"1,496,359,149,644,210,000,000,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,18747a59869684340a14fe0ddc5a5a2c,1,0,1464255743,26/05/16 09:42,26/05/16 09:42,0000-00-00 00:00:00,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e49902e225a5c765f33f40905cd38f0
